Run,Elapsed,Dev. from mean,
1,978.572600,1.011418,
2,975.755500,-1.805682,
3,977.105000,-0.456182,
4,975.487600,-2.073582,
5,976.205200,-1.355982,
6,976.748900,-0.812282,
7,975.651700,-1.909482,
8,975.159200,-2.401982,
9,975.047400,-2.513782,
10,975.831500,-1.729682,
11,975.926800,-1.634382,
12,976.304300,-1.256882,
13,977.107900,-0.453282,
14,976.494900,-1.066282,
15,976.872600,-0.688582,
16,976.238400,-1.322782,
17,976.783200,-0.777982,
18,976.080700,-1.480482,
19,976.123300,-1.437882,
20,976.778300,-0.782882,
21,976.239500,-1.321682,
22,976.424800,-1.136382,
23,976.113000,-1.448182,
24,976.526000,-1.035182,
25,977.614200,0.053018,
26,980.340100,2.778918,
27,976.527900,-1.033282,
28,976.740700,-0.820482,
29,977.291900,-0.269282,
30,977.370500,-0.190682,
31,976.550800,-1.010382,
32,976.867900,-0.693282,
33,980.496700,2.935518,
34,978.111000,0.549818,
35,976.524700,-1.036482,
36,981.758700,4.197518,
37,976.991600,-0.569582,
38,976.923800,-0.637382,
39,976.444300,-1.116882,
40,976.655500,-0.905682,
41,979.180600,1.619418,
42,976.468400,-1.092782,
43,976.118700,-1.442482,
44,976.367400,-1.193782,
45,976.869800,-0.691382,
46,980.117700,2.556518,
47,976.768800,-0.792382,
48,977.007700,-0.553482,
49,977.068400,-0.492782,
50,976.914400,-0.646782,
51,977.111700,-0.449482,
52,976.801000,-0.760182,
53,978.164200,0.603018,
54,976.545600,-1.015582,
55,976.726500,-0.834682,
56,979.651100,2.089918,
57,978.562100,1.000918,
58,976.379100,-1.182082,
59,976.561300,-0.999882,
60,976.030300,-1.530882,
61,977.151500,-0.409682,
62,977.020300,-0.540882,
63,977.160500,-0.400682,
64,977.707200,0.146018,
65,976.370700,-1.190482,
66,976.652200,-0.908982,
67,980.262100,2.700918,
68,977.015800,-0.545382,
69,976.922000,-0.639182,
70,978.986800,1.425618,
71,976.055000,-1.506182,
72,976.152400,-1.408782,
73,976.481200,-1.079982,
74,977.284200,-0.276982,
75,977.380500,-0.180682,
76,976.710500,-0.850682,
77,977.622100,0.060918,
78,977.199200,-0.361982,
79,976.398000,-1.163182,
80,975.991800,-1.569382,
81,976.118900,-1.442282,
82,976.378300,-1.182882,
83,976.016500,-1.544682,
84,976.499900,-1.061282,
85,979.276400,1.715218,
86,976.909100,-0.652082,
87,977.504200,-0.056982,
88,976.785400,-0.775782,
89,976.561400,-0.999782,
90,976.849300,-0.711882,
91,976.625300,-0.935882,
92,976.373900,-1.187282,
93,976.210100,-1.351082,
94,977.450600,-0.110582,
95,976.689300,-0.871882,
96,976.669200,-0.891982,
97,977.797600,0.236418,
98,977.320700,-0.240482,
99,976.937200,-0.623982,
100,979.518800,1.957618,
101,977.676700,0.115518,
102,978.489500,0.928318,
103,978.606900,1.045718,
104,978.180100,0.618918,
105,977.840900,0.279718,
106,977.859800,0.298618,
107,978.219200,0.658018,
108,978.524600,0.963418,
109,978.098700,0.537518,
110,977.955600,0.394418,
111,978.019700,0.458518,
112,977.574000,0.012818,
113,978.102100,0.540918,
114,978.165800,0.604618,
115,977.985000,0.423818,
116,978.035900,0.474718,
117,978.111900,0.550718,
118,978.179700,0.618518,
119,978.136500,0.575318,
120,977.666100,0.104918,
121,977.425600,-0.135582,
122,977.634300,0.073118,
123,977.946800,0.385618,
124,977.931400,0.370218,
125,977.933600,0.372418,
126,981.430000,3.868818,
127,977.912300,0.351118,
128,980.897400,3.336218,
129,978.307800,0.746618,
130,978.133600,0.572418,
131,977.878900,0.317718,
132,977.656700,0.095518,
133,978.281800,0.720618,
134,978.292300,0.731118,
135,978.354000,0.792818,
136,977.928200,0.367018,
137,978.109500,0.548318,
138,977.981400,0.420218,
139,978.560300,0.999118,
140,978.455600,0.894418,
141,978.101100,0.539918,
142,978.060600,0.499418,
143,978.064200,0.503018,
144,977.749100,0.187918,
145,978.055100,0.493918,
146,977.733000,0.171818,
147,977.787200,0.226018,
148,977.479700,-0.081482,
149,978.069600,0.508418,
150,977.476900,-0.084282,
151,977.615300,0.054118,
152,977.698400,0.137218,
153,978.444500,0.883318,
154,978.420600,0.859418,
155,978.068400,0.507218,
156,978.170000,0.608818,
157,978.101000,0.539818,
158,978.162000,0.600818,
159,980.087800,2.526618,
160,978.125200,0.564018,
161,978.691300,1.130118,
162,977.860400,0.299218,
163,978.097500,0.536318,
164,979.983800,2.422618,
165,978.276400,0.715218,
166,977.609900,0.048718,
167,977.612800,0.051618,
168,977.652400,0.091218,
169,977.425700,-0.135482,
170,978.554900,0.993718,
171,977.724200,0.163018,
172,978.159100,0.597918,
173,978.216100,0.654918,
174,978.453200,0.892018,
175,978.121700,0.560518,
176,978.617800,1.056618,
177,977.599100,0.037918,
178,977.610500,0.049318,
179,977.495100,-0.066082,
180,977.905800,0.344618,
181,977.563200,0.002018,
182,977.650800,0.089618,
183,978.187700,0.626518,
184,978.084800,0.523618,
185,978.591100,1.029918,
186,978.072400,0.511218,
187,978.170500,0.609318,
188,977.353000,-0.208182,
189,977.893500,0.332318,
190,978.231700,0.670518,
191,976.982100,-0.579082,
192,977.765700,0.204518,
193,977.716400,0.155218,
194,978.133400,0.572218,
195,978.309800,0.748618,
196,977.952700,0.391518,
197,977.796300,0.235118,
198,977.576000,0.014818,
199,977.472200,-0.088982,
200,977.896100,0.334918,
